Commodity,Commodity_ID
Arecanut,140
Arhar/Tur,49
Bajra,28
Banana,19
Black pepper,38
Cardamom,40
Cashewnut,36
Castor Seed,123
Coconut,138
Cowpea(Lobia),92
Dry Chillies,132
Garlic,25
Ginger,103
Groundnut,10
Jowar,5
Linseed,67
Maize,4
Moong(Green Gram),9
Niger Seed,98
Onion,23
Beans,94
Potato,24
Ragi,30
Mustard,12
Rice,3
Safflower,59
Sesamum,11
Soyabean,13
Sunflower,14
Sweet Potato,152
Turmeric,39
Wheat,1
